Deal Name,Owner code,Client Code,Deal Status,Close Date (A),Closure Probability,Masked Deal value,Tentative Close Date,Deal Stage,Product deal,Sector/service,Created Date
Stewie Griffin,OWNER_001,COMPANY076,Won,,,,,A. Lead Generated,,Mining,2025-11-27
Stewie Griffin,OWNER_001,COMPANY076,Won,,,,,A. Lead Generated,,Mining,2025-11-27
Stewie Griffin,OWNER_001,COMPANY076,Won,,,,,A. Lead Generated,,Mining,2025-11-27
Stewie Griffin,OWNER_001,COMPANY076,Won,,,,,A. Lead Generated,,Mining,2025-11-27
Stewie Griffin,OWNER_001,COMPANY076,Won,,,,,A. Lead Generated,,Mining,2025-11-27
Stewie Griffin,OWNER_001,COMPANY102,Won,,,,,A. Lead Generated,,Mining,2025-11-27
Stewie Griffin,OWNER_003,COMPANY187,Won,,,,,A. Lead Generated,,Mining,2025-11-27
Stewie Griffin,OWNER_001,COMPANY169,Won,,High,,,A. Lead Generated,,Renewables,2025-11-27
Stewie Griffin,OWNER_001,COMPANY169,Won,,High,,,A. Lead Generated,,Renewables,2025-11-27
All Might,OWNER_001,COMPANY076,Won,,,,,A. Lead Generated,,Mining,2025-11-27
SpongeBob,OWNER_003,COMPANY153,Won,,,,,A. Lead Generated,,Renewables,2025-11-27
Patrick Star,OWNER_003,COMPANY013,Won,,,,,A. Lead Generated,,Renewables,2025-11-27
Squidward,OWNER_001,COMPANY141,Won,,,,,A. Lead Generated,,Mining,2025-11-27
Squidward,OWNER_003,COMPANY099,Won,,,,,A. Lead Generated,,Mining,2025-11-27
Squidward,OWNER_001,COMPANY137,Won,,,,,A. Lead Generated,,Mining,2025-11-27
Mr. Krabs,OWNER_003,COMPANY100,Won,,,,,A. Lead Generated,,Mining,2025-11-27
Mr. Krabs,OWNER_003,COMPANY135,Won,,,,,A. Lead Generated,,Renewables,2025-11-27
Mr. Krabs,OWNER_001,COMPANY076,Won,,,,,A. Lead Generated,,Mining,2025-11-27
SpongeBob,OWNER_001,COMPANY092,Won,,,,,A. Lead Generated,,Mining,2025-11-27
Ben Tennyson,OWNER_003,COMPANY012,Won,,,,,A. Lead Generated,,Railways,2025-11-27
Ben Tennyson,OWNER_003,COMPANY015,Won,,,,,A. Lead Generated,,Mining,2025-11-27
Ben Tennyson,OWNER_001,COMPANY076,Won,,,,,A. Lead Generated,,Mining,2025-11-27
Ben Tennyson,OWNER_001,COMPANY083,Won,,,,,A. Lead Generated,,Mining,2025-11-27
Ben Tennyson,OWNER_003,COMPANY134,Won,,,,,A. Lead Generated,,Renewables,2025-11-27
Ben Tennyson,OWNER_004,COMPANY055,Won,,,,,A. Lead Generated,,Others,2025-11-27
Ben Tennyson,OWNER_004,COMPANY054,Won,,,,,A. Lead Generated,,Renewables,2025-11-27
Ben Tennyson,OWNER_003,COMPANY164,Won,,,,,A. Lead Generated,,Renewables,2025-11-27
Ben Tennyson,OWNER_003,COMPANY003,Won,,,,,A. Lead Generated,,Mining,2025-11-27
Ben Tennyson,OWNER_001,COMPANY169,Won,,High,,,A. Lead Generated,,Renewables,2025-11-27
